iter	Logloss
0	0.6876308465
1	0.6821349077
2	0.6768863297
3	0.6715355645
4	0.6663466897
5	0.6603793053
6	0.6550376397
7	0.6497992663
8	0.6435478625
9	0.6383951119
10	0.6340227837
11	0.6278597391
12	0.6232543401
13	0.6179591035
14	0.6132847865
15	0.6074163334
16	0.6027187313
17	0.59709241
18	0.5926558043
19	0.5884024861
20	0.5830283141
21	0.5801646109
22	0.5759586598
23	0.5722213157
24	0.5680027852
25	0.5641467651
26	0.5604302821
27	0.5574254525
28	0.5540464365
29	0.5506722594
30	0.5464645992
31	0.5431787851
32	0.5401993848
33	0.5372676385
34	0.5341507854
35	0.5312271235
36	0.5290633367
37	0.5252924364
38	0.5221747623
39	0.5192268595
40	0.5169393669
41	0.5130991539
42	0.5101781123
43	0.5073208707
44	0.5047483289
45	0.5022649663
46	0.499931499
47	0.4973505121
48	0.4950287748
49	0.4926375018
50	0.490579757
51	0.4886467697
52	0.4869957722
53	0.4852876825
54	0.4825817128
55	0.4800521654
56	0.478832106
57	0.4772713208
58	0.4745019542
59	0.4732106607
60	0.471704368
61	0.4701494449
62	0.4683623218
63	0.4658077907
64	0.4640633172
65	0.4626413668
66	0.4606081724
67	0.4587920043
68	0.4565728266
69	0.4556088344
70	0.4540977098
71	0.4523688018
72	0.4510357105
73	0.450087157
74	0.4486630803
75	0.4469582526
76	0.4458443532
77	0.4445279936
78	0.4435508002
79	0.4418405264
80	0.4404069171
81	0.4386561024
82	0.4375741179
83	0.4364698803
84	0.4351859124
85	0.4340445177
86	0.4326590227
87	0.4315249588
88	0.4300571224
89	0.4288693845
90	0.428245096
91	0.4271450836
92	0.4258895607
93	0.4250111067
94	0.423963389
95	0.423129059
96	0.4222690818
97	0.4215363225
98	0.4207001399
99	0.4198831468
100	0.4190893483
101	0.4181483217
102	0.4173685807
103	0.4165566481
104	0.4152985189
105	0.4148236884
106	0.4135630174
107	0.4126375813
108	0.4120747429
109	0.4114604487
110	0.4106576437
111	0.4093486052
112	0.4086667461
113	0.4077137252
114	0.4068708272
115	0.4063198974
116	0.4056258176
117	0.4051898118
118	0.4046003891
119	0.4038508482
120	0.4034210903
121	0.4030705819
122	0.4023809682
123	0.4018235853
124	0.4012413735
125	0.4005464337
126	0.3999200518
127	0.3991118855
128	0.3987327244
129	0.3976709352
130	0.3970400892
131	0.3964630845
132	0.3958652408
133	0.395351032
134	0.3948306555
135	0.3942869329
136	0.3938293116
137	0.3933196954
138	0.3926717565
139	0.3924583702
140	0.3919061579
141	0.3912037086
142	0.3906461349
143	0.3902198867
144	0.3899249426
145	0.3893838048
146	0.3887390637
147	0.3883501166
148	0.3878006204
149	0.3872443475
150	0.3869895166
151	0.3866326797
152	0.3862840634
153	0.3858208298
154	0.3853990066
155	0.3849633034
156	0.3845519278
157	0.3841499753
158	0.3839286041
159	0.3835121135
160	0.3831086112
161	0.3826145162
162	0.3822846508
163	0.3816600031
164	0.3813873708
165	0.3807169237
166	0.3802966648
167	0.3801654299
168	0.3798212375
169	0.3791334718
170	0.3787058651
171	0.3782014774
172	0.3778757352
173	0.3771997506
174	0.3767731675
175	0.376303363
176	0.3758835411
177	0.3756981951
178	0.3755351678
179	0.3751393499
180	0.3748831842
181	0.3744693772
182	0.3740183644
183	0.3736767751
184	0.373329542
185	0.3727618643
186	0.3724768573
187	0.3722116463
188	0.371662646
189	0.3711970387
190	0.3710524222
191	0.3708907876
192	0.3706797936
193	0.3704673278
194	0.3701593122
195	0.3698392024
196	0.3696343105
197	0.3693944654
198	0.3692097179
199	0.3690346079
200	0.368669439
201	0.3683516117
202	0.3681400823
203	0.367834162
204	0.3674839641
205	0.3671496962
206	0.3667469066
207	0.3661890035
208	0.365991344
209	0.3654614914
210	0.3653201367
211	0.3649810716
212	0.3647758552
213	0.3643789491
214	0.3641173369
215	0.3637041006
216	0.3635107086
217	0.3632684823
218	0.3630443999
219	0.3628706349
220	0.3625980356
221	0.3624159329
222	0.362242204
223	0.3620624433
224	0.3617682095
225	0.3612937543
226	0.3611461639
227	0.3609157295
228	0.3608101166
229	0.3606644706
230	0.3601631053
231	0.3599488262
232	0.3597944094
233	0.3595631575
234	0.3592687103
235	0.3590600377
236	0.3586897839
237	0.3585008267
238	0.3583118853
239	0.3580133807
240	0.357586291
241	0.3572777423
242	0.3569492499
243	0.3567147205
244	0.3565129456
245	0.3563360633
246	0.3561993297
247	0.3558499836
248	0.355711315
249	0.355622663
250	0.3554998103
251	0.3553787276
252	0.3551431209
253	0.3548045258
254	0.3546532351
255	0.3544048295
256	0.3541036675
257	0.353810507
258	0.353672948
259	0.3535393014
260	0.353269708
261	0.3530322335
262	0.3527990887
263	0.3527514319
264	0.3525207207
265	0.352272746
266	0.352151384
267	0.3520778654
268	0.3519422021
269	0.3517057478
270	0.3514097836
271	0.351280815
272	0.3511070209
273	0.3509509124
274	0.3507472482
275	0.3504894175
276	0.3501791984
277	0.3499858986
278	0.3498881124
279	0.3497774607
280	0.3496759257
281	0.3494592065
282	0.3493487706
283	0.3492406289
284	0.3491246444
285	0.3489768257
286	0.3488632311
287	0.3486112547
288	0.3483087197
289	0.3480380893
290	0.3479008339
291	0.3477955712
292	0.347670887
293	0.3475063464
294	0.3473724968
295	0.3471837472
296	0.3470694843
297	0.3468601633
298	0.3467043689
299	0.3465659864
300	0.3464475635
301	0.3463294169
302	0.34615289
303	0.3460362486
304	0.345919607
305	0.3458190235
306	0.3456436311
307	0.34554915
308	0.3454368217
309	0.3450885402
310	0.3450183108
311	0.3449520983
312	0.3448259154
313	0.3447306477
314	0.3446201503
315	0.3443789972
316	0.3442361205
317	0.3440458905
318	0.3439094192
319	0.34387641
320	0.3436959159
321	0.3435727346
322	0.3434007823
323	0.3433234609
324	0.3432080694
325	0.3430376811
326	0.3429195096
327	0.3428477476
328	0.3426995844
329	0.3426598155
330	0.3424378945
331	0.3423541745
332	0.3421459215
333	0.3420772207
334	0.3419220485
335	0.3418252179
336	0.3416717301
337	0.3415855933
338	0.3414838719
339	0.3414263269
340	0.341335067
341	0.341176329
342	0.3410884529
343	0.3408994222
344	0.340779784
345	0.3406979855
346	0.3405357642
347	0.3404527786
348	0.3402375367
349	0.3401426132
350	0.3398529339
351	0.3397531028
352	0.3395867989
353	0.3395114627
354	0.339387537
355	0.3392737755
356	0.339097356
357	0.3389726775
358	0.3388155451
359	0.3387024561
360	0.3384740949
361	0.3383168466
362	0.3382499492
363	0.3380549023
364	0.3379208738
365	0.3378126456
366	0.3377326084
367	0.3376273955
368	0.3375454485
369	0.3373110432
370	0.3372511553
371	0.3371180112
372	0.3370544101
373	0.3369588322
374	0.3368122624
375	0.3365103765
376	0.3364134663
377	0.3363304486
378	0.3361115383
379	0.3360183936
380	0.3356968826
381	0.335568333
382	0.3354540317
383	0.3352566706
384	0.3351898291
385	0.3350880695
386	0.334992257
387	0.334936227
388	0.3347809832
389	0.3346585615
390	0.3345186786
391	0.3344314885
392	0.3343375539
393	0.3342330076
394	0.3341732915
395	0.3341390554
396	0.3340543378
397	0.333977583
398	0.3338527323
399	0.3337582735
400	0.3336936549
401	0.3336032871
402	0.3334959291
403	0.3334648689
404	0.3334149898
405	0.3333416551
406	0.3332466494
407	0.3332203405
408	0.3331249406
409	0.3329408164
410	0.3328378999
411	0.3327612757
412	0.3326585061
413	0.3326127971
414	0.3324498913
415	0.3323734326
416	0.3322726272
417	0.3319787192
418	0.3318556057
419	0.3316171309
420	0.3315173277
421	0.3313298012
422	0.3312436409
423	0.3311388695
424	0.3310308869
425	0.3309646695
426	0.3308969398
427	0.3308555822
428	0.3307578223
429	0.3306943538
430	0.330680815
431	0.3305807172
432	0.3304673194
433	0.3303057232
434	0.3301315031
435	0.3300667582
436	0.3299979589
437	0.3297482008
438	0.329568259
439	0.3294949857
440	0.3294249554
441	0.3293847943
442	0.3292621511
443	0.3291834982
444	0.3290891441
445	0.3289630065
446	0.328875928
447	0.328778286
448	0.3286938859
449	0.3284290933
450	0.3283761047
451	0.3282508006
452	0.3281788224
453	0.3281124965
454	0.3280586034
455	0.3279872972
456	0.3279131367
457	0.32782855
458	0.3277707058
459	0.3276418724
460	0.3275453689
461	0.3274786916
462	0.3273893731
463	0.3273149167
464	0.3272465122
465	0.3272171571
466	0.3271209083
467	0.3270780784
468	0.3270203896
469	0.3269417747
470	0.3268456087
471	0.326762706
472	0.3266491953
473	0.3265069863
474	0.326403732
475	0.3263355766
476	0.3262196783
477	0.3261155843
478	0.3259879969
479	0.3258157526
480	0.3256531806
481	0.3255275419
482	0.3252842771
483	0.3251887439
484	0.3251326517
485	0.3250569124
486	0.3249966069
487	0.3248792041
488	0.3248331684
489	0.3247002642
490	0.3245425311
491	0.3244600595
492	0.3243566445
493	0.3242540957
494	0.3241503741
495	0.3240730692
496	0.323983859
497	0.3239483853
498	0.3239036203
499	0.323806848
500	0.3237548798
501	0.3236937963
502	0.3236246325
503	0.3235690162
504	0.3235181068
505	0.3234051641
506	0.3233436673
507	0.3232248522
508	0.3230703801
509	0.3230167913
510	0.3229992356
511	0.3229353693
512	0.3228900373
513	0.3227894886
514	0.3226360882
515	0.3225068268
516	0.322446766
517	0.3224048593
518	0.3223307667
519	0.3223194699
520	0.3222450585
521	0.3221872178
522	0.3220941023
523	0.3219865528
524	0.3218996285
525	0.3218189753
526	0.3217491597
527	0.3216534727
528	0.3215942255
529	0.3215368021
530	0.3213307882
531	0.321293522
532	0.3212333366
533	0.3211472758
534	0.3210746489
535	0.3210371442
536	0.320951704
537	0.3208696429
538	0.3208053283
539	0.320726858
540	0.3206882837
541	0.3206105896
542	0.3205712446
543	0.3205086121
544	0.3204294462
545	0.3203873735
546	0.3203384749
547	0.3202778487
548	0.3201492322
549	0.3200367686
550	0.3199534986
551	0.319894515
552	0.3198179662
553	0.319786641
554	0.3197605091
555	0.3196918159
556	0.3196158891
557	0.3195417437
558	0.3194754333
559	0.3194304065
560	0.3193920255
561	0.3193367466
562	0.3193046449
563	0.319242486
564	0.3191878147
565	0.3191376833
566	0.3190860391
567	0.3189809964
568	0.3189326359
569	0.3188987989
570	0.318828531
571	0.3187905943
572	0.3186748395
573	0.3185563872
574	0.3184845475
575	0.3183374521
576	0.3182996556
577	0.3182385787
578	0.3181719541
579	0.3180991073
580	0.3180017183
581	0.3179566829
582	0.3178747525
583	0.3178108268
584	0.3177781328
585	0.3177131424
586	0.3175876257
587	0.3174919604
588	0.3174325284
589	0.3173625118
590	0.317244777
591	0.3171903886
592	0.3171363823
593	0.3170468578
594	0.3169075833
595	0.3168520455
596	0.3167938887
597	0.3167276895
598	0.3166024158
599	0.3163652205
